tmdb_id,name,biography,place_of_birth,birthday,deathday,gender,known_for_department,popularity,profile_img_url
1344158,Jeong Do-won,,"Pohang, North Gyeonsang Province, South Korea",1980-07-17,,2.0,Acting,2.219,https://image.tmdb.org/t/p/original/rhtDzCPE2FEBVvMIoeVihvu0VHi.jpg
2339974,Lee Na-eun,"Lee Na-eun is a South Korean singer and actress. She is a member of South Korean girl group April. Besides from her group's activities, Naeun also has roles in A-Teen, A-Teen 2 and Extraordinary You. She has been a host of SBS Inkigayo since October 2019 together alongside with Jaehyun of NCT and Minhyuk of Monsta X.","Daejeon, South Korea",1999-05-05,,1.0,Acting,3.352,https://image.tmdb.org/t/p/original/we875MZKOUpG02XxHtC8yiXvoeB.jpg
564846,Park Mi-hyeon,,South Korea,,,1.0,Acting,3.0,https://image.tmdb.org/t/p/original/wS5K0tbu7YhcU7b8mmTmkbkn7fW.jpg
1726825,Pierre Deporte,,,1985-10-29,,2.0,Acting,0.85,
140319,Yoon Da-kyung,,,1971-07-10,,1.0,Acting,2.314,https://image.tmdb.org/t/p/original/kY3YZKRxfF1Prj67eaHQXEk2ZEA.jpg
139506,Lee Chae-young,,"Seoul, South Korea",1986-04-29,,1.0,Acting,5.521,https://image.tmdb.org/t/p/original/xwHPMSKQHo9iRBDDgdINDYBd9kb.jpg
1736282,Han Jae-seok,,,1991-08-20,,2.0,Acting,3.853,https://image.tmdb.org/t/p/original/7sapXnrukJdb9LziKU473RmCNfY.jpg
1704081,Yeo Hoi-hyeon,,,1994-01-01,,2.0,Acting,4.911,https://image.tmdb.org/t/p/original/wmjDp7bICNWedJQXdX0ovWK1aTi.jpg
3548046,Lee Young Kyo,,,,,2.0,Acting,0.6,https://image.tmdb.org/t/p/original/q4Tv5STo2mKlVp7978wJayaTPJG.jpg
3125583,Jang Tae Hoon,,,,,,Acting,1.308,
141150,Kim Hyeong-beom,Kim Hyeong-beom is a Korean actor affiliated with Victoire Entertainment.,"Nonsan, South Chungcheong, South Korea",1974-11-25,,2.0,Acting,1.309,https://image.tmdb.org/t/p/original/1oqZGC7eIxU9hMAJrEUuYKBwF72.jpg
2073041,Ji Geon-woo,,,1996-12-18,,2.0,Acting,4.29,https://image.tmdb.org/t/p/original/v79BghY1cqQMCTu75QMEIUsENe2.jpg
1621349,Jung Jong-chul,,,1977-06-27,,2.0,Acting,1.538,
2146360,Ha Eun Sul,,,,,,Acting,0.6,
3080465,Mashiho,,,,,,Acting,0.6,
1567062,Baek Seung-Hee,,,,,,Acting,1.462,https://image.tmdb.org/t/p/original/qEICL12XnObKRrpHhAckn6OxbJy.jpg
2133803,Yoon Seon-bin,"Yoon Seo Bin is a South Korean singer and actor under Sublime Artist Agency. He was a Korean pop trainee for one year and seven months under JYP Entertainment prior to his appearance as a contestant on the boy group survival reality show Produce X 101. After the airing of the first episode of the show, he was removed from JYP Entertainment and Produce X 101 due to rumors claiming that he was involved in severe bullying, underage drinking, and underage smoking when he was in elementary and middle school. He has apologized for this controversy surrounding his past ignominious actions through a handwritten letter of apology that he posted on Instagram.",South Korea,1999-12-14,,2.0,Acting,0.6,https://image.tmdb.org/t/p/original/94ZpTLGvfQUyVPFAGaCt6O2UhSn.jpg
1590847,Lee Eon,,"Busan, South Korea",1981-02-05,2008-08-21,2.0,Acting,1.617,
3030266,Eru,"Jo Sung Hyun, better known by his stage name Eru, is a Korean-American singer and actor. He is known as ""Indonesia's Prince,"" given his popularity in that country.","New York City, New York",1983-07-05,,2.0,Acting,1.4,https://image.tmdb.org/t/p/original/y9I5jGLBs268ZbalLMLG30uEgcu.jpg
1897018,Doyoung,," Seoul, South Korea",1996-02-01,,2.0,Acting,2.058,https://image.tmdb.org/t/p/original/ayq0eigcT746l7vDpzhqTXBxEc6.jpg
2637953,Sung Nak-kyung,,,,,,Acting,0.6,
566367,Lee Soon-jae,,"Hoeryong, North Hamgyong, Korea",1935-10-10,,2.0,Acting,5.335,https://image.tmdb.org/t/p/original/d7iuHCVIBQ9CV76X98Cb0tSD0g.jpg
2204920,Yu Bee,,South Korea,1990-06-13,,2.0,Acting,1.383,https://image.tmdb.org/t/p/original/443aH1rAvRRKEId6fIBKDOgHYGq.jpg
3218480,Roh Yoon-seo,Roh Yoon Seo is a South Korean actress and model managed by MAA Korea.,,2000-01-25,,1.0,Acting,6.788,https://image.tmdb.org/t/p/original/A67wGhTozfav5saZ1Umi5f98Ezb.jpg
3481287,Lim Hyun-sik,,,,,,Acting,0.6,https://image.tmdb.org/t/p/original/3xHHPbusXUlgUYKSG7geOsIxFgR.jpg
2823630,Han Se-jin,"Lee Se Jin is a South Korean actor. He was born on April 3, 1996 and made his acting debut in 2017. In 2019, he participated in the survival reality program, “Produce X 101”. Since his debut, he has appeared in various television dramas, including “Yellow” (2017).","Siheung-si, South Korea",1996-04-03,,2.0,Acting,3.329,https://image.tmdb.org/t/p/original/alAUQ1nwXKQrfUV1hpj0hfZRuYH.jpg
2663920,Choi Young-jun,"Choi Young-jun is a South Korean actor and made his acting debut in 2019. Since then, he has appeared in a handful of television dramas.",,1980-07-07,,2.0,Acting,4.454,https://image.tmdb.org/t/p/original/8qi16JP0iqxDektKbQSsopKAhos.jpg
1628216,Park Mi-sun,,"Seoul, South Korea",1967-03-10,,1.0,Acting,4.128,https://image.tmdb.org/t/p/original/bF7OxYNi2GwhQspZnausMTuCeoH.jpg
1255392,Yoon Sang-hyun,,"Paju, Gyeonggi, South Korea",1973-09-21,,2.0,Acting,7.111,https://image.tmdb.org/t/p/original/66UoDVZcRVxDCMRyvO6kP7FBN9e.jpg
1239675,Hwang Bo-ra,"Hwang Bo Ra is a South Korean actress. Born on October 2, 1983, she made her acting debut in the 1999 film “Memento Mori.” But she shot to fame after appearing as the “cup noodle girl” in a ramen commercial in the mid-2000s. The 2007 film “Skeletons in the Closet” brought her a few Best New Actress awards. Hwang Bo Ra has appeared in many popular films and television dramas since, including “Love Rain” (2012), “Arang and the Magistrate” (2012), “Cunning Single Lady” (2014) and “Ms. Temper & Nam Jung Gi” (2016).","Busan, South Korea",1983-10-02,,1.0,Acting,8.434,https://image.tmdb.org/t/p/original/kYqk3HTZkE5HLvDJC7h1q0usbNl.jpg
2198933,Lee Sang,,,1995-10-17,,2.0,Acting,0.6,https://image.tmdb.org/t/p/original/e4APXs08YjzgYjE0iwQT0yPnY08.jpg
2176669,Nam Yoon-su,"Nam Yoon Soo is a model and rising actor under the agency ""Agency Garten"".","Namyangju, Gyeonggi, South Korea",1997-07-14,,2.0,Acting,9.838,https://image.tmdb.org/t/p/original/dzNJmuloAaEpHvVk6bQpYOCYCh4.jpg
70688,Kim Hee-seon,"Theater and Film graduate of Chungang University KIM Hee-seon, who was born in 1977, won the Fair Face Beauty Contest in 1992 while in middle school and embarked on a career as a model for teen magazines. The next year brought with it the opportunity to feature in a Samsung commercial and then an acting debut in the TV series Dinosaur Teacher. Quickly achieving fame, she was one of Korea’s top TV stars in the mid-to-late 1990s, featuring in notable fare such as Men of the Bath House (1995), Propose (1997), Wedding Dress (1997), Mister Q (1998), which earned her top honors at the SBS Drama Awards, Sunflower (1998) and Tomato (1999).  She embarked on a dual career as a film actress starting in 1997 but failed to find quite the same level of popularity as she had on the small screen. She starred opposite JANG Dong-gun in 1997’s Repechage and then Ghost in Love (1999) from the same director. Her biggest role was in high-budget martial arts blockbuster Bichunmoo which came out in 2000. She changed her image by cutting her hair short for her next part, as an animator in the romantic comedy Wanee and Junah (2001). Her last Korean film was A Letter From Mars (2003). While she has remained active on TV, her only other film roles have been in the HK martial arts title The Myth (2005), alongside Jackie CHAN, and the Chinese period war film The Warring States (2011).","Daegu, South Korea",1977-06-11,,1.0,Acting,8.582,https://image.tmdb.org/t/p/original/yquogQGc7422fAi4T6HdgNwh4yI.jpg
1564168,Kwon Yul,,"Seoul, South Korea",1982-06-29,,2.0,Acting,7.186,https://image.tmdb.org/t/p/original/tKoW6rlm3q8JGt7Hw6h7wsZkp49.jpg
118667,Kim Hee-jung,Kim Hee-jung is a Korean actress affiliated with Inyeon Entertainment.,South Korea,1970-12-04,,1.0,Acting,6.385,https://image.tmdb.org/t/p/original/5Rj388i8PVKYRn4DhlDJPgzspSz.jpg
2318277,Ha Yi-An,,,,,,Acting,0.84,
37940,Lim Soo-jung,,"Seoul, South Korea",1979-07-11,,1.0,Acting,8.733,https://image.tmdb.org/t/p/original/vX5teH7vHy7B18vNQCafeML2ZPf.jpg
2287204,Lee Ju Hwan,,,,,,Acting,1.284,
1122530,Park Gyu-ri,," Seoul, South Korea",1988-05-21,,1.0,Acting,1.981,https://image.tmdb.org/t/p/original/f81ySZ6hQczD9OX8l6WvGHuackh.jpg
1627616,Lee Soo-jung,,,1983-02-14,,1.0,Acting,0.6,https://image.tmdb.org/t/p/original/zQSV61W4RBBrNZUqTEHhoieJFEA.jpg
2286975,Kim JeeIn,,,,,,Acting,0.6,
1809986,Yang Se-jong,,"Anyang, Gyeonggi, South Korea",1992-12-23,,2.0,Acting,8.3,https://image.tmdb.org/t/p/original/eDjWMBsAkUE7D4u0KjQcpzyNfoj.jpg
1258626,Han Seon-hwa,,"Busan, South Korea",1990-10-06,,1.0,Acting,4.641,https://image.tmdb.org/t/p/original/eOlAfb9Jx1Omv7MjRaCtOtD7t0a.jpg
3563512,Timothee Anzardi,,,,,,Acting,0.6,
2097078,Jeon Jin-gi,,,1966-01-16,,2.0,Acting,1.557,https://image.tmdb.org/t/p/original/zfZIUHaxZDuhMsCtVpHQqMuuuJb.jpg
2098661,Kim Tae-min,,,1995-07-24,,2.0,Acting,0.98,
2235946,Jung In-gyeom,,"Seoul, South Korea",1968-04-09,,2.0,Acting,1.087,https://image.tmdb.org/t/p/original/xV6rr6J5g9J7o4jNxvJu85WnOyy.jpg
1623697,Jo Jung-lin,,"Seoul, South Korea",1984-08-24,,1.0,Acting,0.882,
3694067,Lee Hyo-Chun,,,,,,Acting,0.6,
2462807,Lee Chang-hoon,,,1980-04-28,,2.0,Acting,2.08,https://image.tmdb.org/t/p/original/gunEDHw5kp3Por19IelR8qOp8kL.jpg
2679649,Seo Ji-hye,,,1996-07-17,,1.0,Acting,1.669,https://image.tmdb.org/t/p/original/hyqGwzfcmoZ5gdYuqEQWR8lPqID.jpg
2854670,Kim Min-sik,,,1982-05-20,,2.0,Acting,2.386,https://image.tmdb.org/t/p/original/ldc5Z7dm7F71OhUoQ6wSx5SNyDQ.jpg
1299278,Kim Hye-eun,"Kim Hye-eun (born March 1, 1973) is a South Korean actress. Kim began working as an announcer for the MBC network in 1997, first at a local affiliate in Cheongju, then later as a weathercaster of the main news desk in Seoul. After eight years, she resigned from MBC in 2004. Kim pursued acting in earnest in 2007, and has since starred in films and television series, notably Nameless Gangster: Rules of the Time (2012) and Secret Love Affair (2014).","Busan, South Korea",1973-03-01,,1.0,Acting,10.633,https://image.tmdb.org/t/p/original/qoOOqPCwoNoZpZuelhOG1M4klgK.jpg
2166026,Park Hoon,,"Jeongseon, Gangwon, South Korea",1981-04-27,,2.0,Acting,7.996,https://image.tmdb.org/t/p/original/1fVcI5O31gu3SlQKyocZ5fGPSdg.jpg
2774992,Ha Do-kwon,,,1977-03-03,,2.0,Acting,6.978,https://image.tmdb.org/t/p/original/lOiNEmbHhMkX8mICJfu9R1kzC36.jpg
1386418,Min Do-hee,,"Yeosu, South Jeolla, South Korea",1994-09-25,,1.0,Acting,7.74,https://image.tmdb.org/t/p/original/7dBJa03FiOZPd1KNeU5cE40aQEW.jpg
1607570,Min Jin-woong,,"Seoul, South Korea",1986-08-22,,2.0,Acting,3.923,https://image.tmdb.org/t/p/original/svq2ZuZLSj6wKg6DvMRKP4IpHta.jpg
3159475,Jang Gyu-ri,"Jang Gyu Ri is a South Korean singer . From 2018 to 2022, she was a member of the girl group fromis_9. In July 2017, Gyu Ri became a contestant in Idol School, and finished the competition in ninth place, thus debuting as a member of fromis_9.",,1997-12-27,,1.0,Acting,4.989,https://image.tmdb.org/t/p/original/2zZRZn7UXZwuDpF6O8Jy9xlZAEf.jpg
2519095,Park Seong-geun,,,1971-05-02,,2.0,Acting,1.477,https://image.tmdb.org/t/p/original/8wcDDkhVjTRXyztBuoyJyIMu6Ha.jpg
1374555,Kim Sae-byuk,,"Busan, South Korea",1986-12-04,,1.0,Acting,4.276,https://image.tmdb.org/t/p/original/i2UXRCfTjRLO5nJzdvsCFQhPCCc.jpg
1532511,Zhang Yixing,,"Changsha, Hunan, China",1991-10-07,,2.0,Acting,5.384,https://image.tmdb.org/t/p/original/wU8ZL6AIWlTHVPat2rfMDOImRMA.jpg
1550916,Kang Dong-ho,,"Seoul, South Korea",1985-08-17,,2.0,Acting,4.35,
127849,Choo Ja-hyun,,"Daegu, South Korea",1979-01-20,,1.0,Acting,11.922,https://image.tmdb.org/t/p/original/iyDFZehw7cbQLZc2MHRxzJdgLZZ.jpg
1155304,Kim C,,"Chuncheon, Kangwon-do, South Korea",1971-11-15,,2.0,Acting,1.845,https://image.tmdb.org/t/p/original/12JhBw9SSSmX6d7HlnKGe0hxY7D.jpg
2145563,Lee Jung Hun,,,,,,Acting,0.6,
582130,Kim Ji-won,,"Seoul, South Korea",1992-10-19,,1.0,Acting,7.182,https://image.tmdb.org/t/p/original/1IkKPBM75ZZf9OU2AcK5yBOA4iS.jpg
3610451,Chae Woon,,,,,,Acting,0.6,
2682209,Won Ki Joon,,,,,,Acting,1.128,
1605872,Jung Da-bin,,"Seoul, South Korea",2000-04-25,,1.0,Acting,10.146,https://image.tmdb.org/t/p/original/lvkX2YwZDTG3H8ADcvoeUTOsZJY.jpg
1996763,Olga Brügmann,,,,,,Acting,0.6,
1637327,Luna,,"Mungyeong, North Gyeongsang, South Korea",1993-08-12,,1.0,Acting,2.124,https://image.tmdb.org/t/p/original/k71RkjRIVEw2f4SsBL5Ia1DDnk.jpg
1619555,Baek Ji-young,,"Seoul, South Korea",1976-03-25,,1.0,Acting,2.616,https://image.tmdb.org/t/p/original/mjxhVDnNi2iC70Dp7ZGmmevEAhb.jpg
560082,Do-hee Lee,,,,,,Acting,1.96,https://image.tmdb.org/t/p/original/eBkv0t0TgilZXEl1R3kjUy2jfKa.jpg
1579829,Kim Ha-yoo,,,2008-03-06,,1.0,Acting,1.694,
3173972,Hwang Joon-Hyuk,,,,,,Directing,0.6,
1707625,Kim Jong-Moon,,,,,,Acting,1.632,
2143846,Bae Min Hee,,,1979-05-09,,1.0,Acting,0.6,
1075471,Jung Jae-jin,,"Incheon, South Korea",1952-02-28,,2.0,Acting,2.744,https://image.tmdb.org/t/p/original/ncwOzSMfIj2LaHrfGZ7KSxI3MXA.jpg
3281024,Seo Hee-sun,,,1999-12-08,,1.0,Acting,1.305,https://image.tmdb.org/t/p/original/weB9dXSeTG3Fd4OudcEyNh069Mo.jpg
1256250,Jo Yoon-woo,,,1991-07-27,,,Acting,3.802,https://image.tmdb.org/t/p/original/udV2dT8vy3pn408Sxka6L13n20d.jpg
1432841,Lee Young-lan,,,1954-03-06,,1.0,Acting,3.301,https://image.tmdb.org/t/p/original/omNEg66dsVXP04DWJEWzaHetAdz.jpg
2758997,Lee Tae-hee,,,1995-05-27,,2.0,Acting,0.6,
1858262,Park Young-Woon,,,1990-01-15,,2.0,Acting,3.506,https://image.tmdb.org/t/p/original/aQn7kuNpj16orb55VTkQt0kq2IL.jpg
3141335,Kim Seo-kyung,,South Korea,1985-03-26,,2.0,Acting,0.754,https://image.tmdb.org/t/p/original/mrK8HqzLrelTSNmtY9sdVLkpRL3.jpg
1875840,Kim Ji-soo,"Kim Ji-soo (born on January 3, 1995), known mononymously as Jisoo, is a South Korean singer and actress. She is a member of the K-pop girl group BLACKPINK. Prior to her debut with BLACKPINK in 2016, she had a cameo in the Korean drama The Producers (2015). She also had other cameos in Part-Time Idols (2017) and Arthdal Chronicles (2019). For her first lead role, she plays the lively freshman student Eun YoungRo in the romance drama Snowdrop (2021), alongside actor Jung Hae-in.","Gunpo, Gyeonggi, South Korea",1995-01-03,,1.0,Acting,8.995,https://image.tmdb.org/t/p/original/yyzmRqjwwU05ROhxJ1VBQox4yIX.jpg
39258,Lee Dae-yeon,,South Korea,1964-11-13,,2.0,Acting,2.13,https://image.tmdb.org/t/p/original/tK8o0uRbBwofzyah3bqKi2b8rNi.jpg
2122696,Jeon Chae-eun,,,2005-10-15,,1.0,Acting,1.852,https://image.tmdb.org/t/p/original/jziIJVHwNeUOamKnvFzC4N6OGWx.jpg
138334,Park Sa-rang,,,2003-03-04,,1.0,Acting,1.115,https://image.tmdb.org/t/p/original/xbNTixOznAlUQGGsfS2a7rM4brH.jpg
2037988,JinJin,,"Ilsan, Gyeonggi-do, South Korea",1996-03-15,,2.0,Acting,2.002,https://image.tmdb.org/t/p/original/lqHI76DrLw9ai3Vb5Zu89owB7Qp.jpg
1978288,Lee Jin-suk,,,,,2.0,Directing,0.6,
3479166,Ian H.W. Kim,,,,,2.0,Acting,0.6,https://image.tmdb.org/t/p/original/qm0yP9qJT6Ytwcub3Mu3rOzrIEo.jpg
1576061,Kang Bong-sung,,,,,,Acting,2.381,https://image.tmdb.org/t/p/original/onYAeuY1tmijMAFp8xsiFvOzoO9.jpg
2333301,Choi Hee Seung,,,,,,Acting,0.6,
1427112,Kim Min,,"Seoul, South Korea",1973-06-08,,1.0,Acting,3.578,https://image.tmdb.org/t/p/original/sNzzoUfQU6FajLqWxkmdRVVN9Ti.jpg
567621,Choi Hee-jin,,South Korea,1979-03-02,,1.0,Acting,8.44,https://image.tmdb.org/t/p/original/nDOo1uoshFe16QOTbbMj3Eq2IzG.jpg
3724257,Shim Yoon Bo,Shim Yoon Bo is a South Korean actor and a musical actor.,South Korea,1984-02-15,,2.0,Acting,0.6,https://image.tmdb.org/t/p/original/A3BIubZVKXb8GCmrm3NyPaNjPHI.jpg
307481,Bae Yong-Jun,"Bae Yong-joon (born August 29, 1972) is a South Korean actor and businessman. He has starred in numerous television dramas, including, notably, Winter Sonata which became a major part of the Korean Wave. Bae retired from acting after 2007, but remains active as the chairman of management agency KeyEast.","Seoul, Korea",1972-08-29,,2.0,Acting,3.484,https://image.tmdb.org/t/p/original/d3NZRKhnh3rqWQyUioMmXufbnqR.jpg
1257669,Uhm Hyo-seop,"Uhm Hyo Sub was born in Incheon, South Korea. He mainly plays supporting roles in movies and television dramas.",South Korea,1966-10-24,,2.0,Acting,5.594,https://image.tmdb.org/t/p/original/vCHrubcNvkaOnCI2DkHcRwdM7Q.jpg
1938987,Kim Sung Kyum,,,,,,Acting,1.008,
138336,Cho Jin-woong,,"Busan, South Korea",1976-03-03,,2.0,Acting,4.907,https://image.tmdb.org/t/p/original/r3o7eKsqVCQu0ppIY88d16VLCsj.jpg
73249,Lee Jung-jae,,"Seoul, South Korea",1973-03-15,,2.0,Acting,14.977,https://image.tmdb.org/t/p/original/3h5Cfm0X8ohWn7psZkqdNWqXAHH.jpg
1349146,Song Jae-rim,,"Seoul, South Korea",1985-02-18,,2.0,Acting,8.023,https://image.tmdb.org/t/p/original/hd0HRH6yvLnwgkhHPd7zpPi4Php.jpg
3080462,Choi Hyun Suk,,,,,,Acting,0.6,https://image.tmdb.org/t/p/original/djNS9sxnebF4j4ewn9Xb2nS6TTn.jpg
3686777,Kim Jin Ho,,,1962-04-04,,2.0,Acting,0.6,https://image.tmdb.org/t/p/original/wmmTxjxuO2gPB0vTwYMZQErvUli.jpg
1257594,Kim Min-jun,,"Busan, South Korea",1976-08-24,,2.0,Acting,4.108,https://image.tmdb.org/t/p/original/1kj2pLCBHIaQWgKhbxQHaZiMUop.jpg
1254416,Choi Jung-won,,"Seoul, South Korea",1981-04-24,,1.0,Acting,2.959,https://image.tmdb.org/t/p/original/lLKuYKv9OzMPEmz6EhMp1qNkxcD.jpg
1457187,Han Jun-hee,,,,,2.0,Directing,1.744,https://image.tmdb.org/t/p/original/m6anJPIzwQoSHv84JOQRWMKADB6.jpg
1913660,Lee Hwang-eui,,"Naejuk Village, Gwangcheon District, Hongseong County, Southern Chungcheon Province, South Korea",1967-12-09,,2.0,Acting,2.906,https://image.tmdb.org/t/p/original/ek0A9CU6Q8zwo04BsCHUR5qGsBJ.jpg
2674503,Jin Ye-ju,,South Korea,1996-08-06,,1.0,Acting,1.622,https://image.tmdb.org/t/p/original/wbPkNb403IqaSFhyDuUPaNf5GII.jpg
229729,Lee Ji-Eun,,,1999-07-02,,1.0,Acting,0.84,
3030311,Choi Ye Eun,,,,,,Acting,0.6,https://image.tmdb.org/t/p/original/wXpugDLBjijGY2dEU1hHLOBbaZF.jpg
2144092,Jo Min-ah,,"Goyang, Gyeonggi Province, South Korea",2002-11-25,,1.0,Acting,1.38,https://image.tmdb.org/t/p/original/vMoq9UVLTDDXMSGybD3QoFIq4qz.jpg
1701993,Lee Joo-young,,"Suwon, Gyeonggi, South Korea",1992-02-14,,1.0,Acting,11.586,https://image.tmdb.org/t/p/original/qItCRSPDO5VvAgueUHNEbg86ZMz.jpg
2988444,Lee So-yeong,,,,,1.0,Acting,0.656,https://image.tmdb.org/t/p/original/v8fV4J25t4RqljGus8mmQqW4lSH.jpg
87090,Cheon Ho-jin,,"Busan, South Korea",1960-09-05,,2.0,Acting,4.193,https://image.tmdb.org/t/p/original/eS5jGpHrBDu3wtHHEfUNkwnZ0uE.jpg
3529074,Oh Dong-jun,,,,,,Acting,0.6,
1742594,Jung Heon,,,1987-05-03,,2.0,Acting,1.646,
1251235,Lee Hong-gi,,"Seongnam, Gyeonggi, South Korea",1990-03-02,,2.0,Acting,4.29,https://image.tmdb.org/t/p/original/7XLhranbxfksAp7SkLp9JD4h0ws.jpg
109645,Kim Nam-jin,,,,,2.0,Acting,1.301,https://image.tmdb.org/t/p/original/oJHfLfwilLQZUvJBc0bjYqtkr0m.jpg
2842826,Nam Min-woo,,,1994-04-18,,2.0,Acting,0.63,https://image.tmdb.org/t/p/original/6hojUlS7U2noZ4JEppd8rtTzEoM.jpg
2220845,Kang Ye-seo,"Kang Ye Seo is a South Korean actress and singer managed by 143 Entertainment. She debuted in MBC's 2010 series, Golden Fish. Kang is a former member of girl group Busters, which she joined in 2019 and officially left in July 2020. In 2021, she joined Mnet's idol program Girls Planet 999 with a fellow labelmate Sakamoto Mashiro. She was a member of a kid girl group CutieL until disbanding in 2017.","Incheon, South Korea",2005-08-22,,1.0,Acting,4.279,https://image.tmdb.org/t/p/original/xajk9M35Dw13bV7IT0NZ9pYmu9Q.jpg
2972572,Kang Hee,"Kang Hui, born as Lee Kang Hee in Yeosu of Jeollanam-do, is a South Korean model and actor. He started out as a model in 2011 with JUNNJ Collection. He made his acting debut in 2016 with his supporting role in the volleyball-themed drama series “Thumping Spike”, followed by “Thumping Spike 2” within the same year.","Yeosu, South Korea",1991-11-19,,2.0,Acting,0.828,https://image.tmdb.org/t/p/original/cGrEBKxbo5ia3YJxaKtmTL7SjrJ.jpg
1252955,Kang Seung-hyun,"Kang Seung-hyun, commonly known as Hyoni Kang, is a Korean model and actress.",,1987-09-22,,1.0,Acting,2.206,https://image.tmdb.org/t/p/original/7p27sw1tTMjrkwtqIEWNxyIS5oM.jpg
1875636,Yeri,"Kim Ye-rim (born March 5, 1999), also known as Yeri, is a South-Korean singer and dancer. She is the maknae, vocalist and sub rapper of the South-Korean girl group Red Velvet and was introduced to the group as a new addition on March 10, 2015.","Seoul, South Korea",1999-05-05,,1.0,Acting,3.25,https://image.tmdb.org/t/p/original/wyqJHfkay57EIpxGQInTkTJgV2G.jpg
1837594,Jeong Se-hyeong,,,1978-04-22,,2.0,Acting,1.266,https://image.tmdb.org/t/p/original/65W7SRfDpFnqhhmGW6frBPgUKDb.jpg
1664896,Woo Jung-kook,,South Korea,1974-03-10,,2.0,Acting,5.337,https://image.tmdb.org/t/p/original/jWJJfrLdRpyUYPp9N81GUFrTDp1.jpg
1501649,Nam Tae-hyun,Nam Tae-hyun is a member of the South Korean boy band Winner.,"Hanam, Gyeonggi, South Korea",1994-05-10,,2.0,Acting,1.869,https://image.tmdb.org/t/p/original/g9OkgtgBEIfv1rB75qrvBE7vkc3.jpg
1254359,Hong Yo Seob,,,1955-07-03,,,Acting,1.492,
